30|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8199|2019091901|18/09/2019|15:53|18/09/2019|21:06|PPA1|02|CD16|02|||||||||||||PPA1-02|722F-P-P1|18/09/2019|21:06|19/09/2019|08:13||7|86100-0K214-00|RECEIVER ASSY  RADIO & NAVIGATION|B037|SA.R -  14|4|4|1||F|18/09/2019|15:53|18/09/2019|09:58|18/09/2019|09:58||18/09/2019|07:30|1909|2|F1||
31|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8199|2019091901|18/09/2019|15:53|18/09/2019|21:06|PPA1|02|CD16|02|||||||||||||PPA1-02|722F-P-P1|18/09/2019|21:06|19/09/2019|08:13||8|86120-0KA11-00|RECEIVER ASSY  RADIO|U587|SA.R -  14|4|4|1||F|18/09/2019|15:53|18/09/2019|09:58|18/09/2019|09:58||18/09/2019|07:30|1909||F1||
32|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9017|2019091901|18/09/2019|15:33|18/09/2019|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|18/09/2019|20:35|19/09/2019|07:30||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|12|3||F|18/09/2019|15:33|18/09/2019|11:23|18/09/2019|11:23||18/09/2019|07:30|1909||F1||
33|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9017|2019091901|18/09/2019|15:33|18/09/2019|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|18/09/2019|20:35|19/09/2019|07:30||2|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|4|1||F|18/09/2019|15:33|18/09/2019|11:23|18/09/2019|11:23||18/09/2019|07:30|1909||F1||
34|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9017|2019091901|18/09/2019|15:33|18/09/2019|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|18/09/2019|20:35|19/09/2019|07:30||3|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|18/09/2019|15:33|18/09/2019|11:23|18/09/2019|11:23||18/09/2019|07:30|1909||F1||
35|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9017|2019091901|18/09/2019|15:33|18/09/2019|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|18/09/2019|20:35|19/09/2019|07:30||4|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|4|1||F|18/09/2019|15:33|18/09/2019|11:23|18/09/2019|11:23||18/09/2019|07:30|1909||F1||
36|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8200|2019091902|19/09/2019|03:42|19/09/2019|09:06|PPA1|06|CD16|01|||||||||||||PPA1-06|722F-P-P1|19/09/2019|09:06|19/09/2019|11:16||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|68|17||F|19/09/2019|03:42|18/09/2019|21:47|18/09/2019|21:47||18/09/2019|07:30|1909||F1||
37|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8200|2019091902|19/09/2019|03:42|19/09/2019|09:06|PPA1|06|CD16|01|||||||||||||PPA1-06|722F-P-P1|19/09/2019|09:06|19/09/2019|11:16||2|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|19/09/2019|03:42|18/09/2019|21:47|18/09/2019|21:47||18/09/2019|07:30|1909||F1||
38|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9018|2019091902|18/09/2019|15:33|18/09/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|18/09/2019|20:35|19/09/2019|09:57||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|36|9||F|18/09/2019|15:33|18/09/2019|11:23|18/09/2019|11:23||18/09/2019|07:30|1909||F1||
39|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9018|2019091902|18/09/2019|15:33|18/09/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|18/09/2019|20:35|19/09/2019|09:57||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||F|18/09/2019|15:33|18/09/2019|11:23|18/09/2019|11:23||18/09/2019|07:30|1909||F1||
40|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9018|2019091902|18/09/2019|15:33|18/09/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|18/09/2019|20:35|19/09/2019|09:57||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|4|1||F|18/09/2019|15:33|18/09/2019|11:23|18/09/2019|11:23||18/09/2019|07:30|1909||F1||
41|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9018|2019091902|18/09/2019|15:33|18/09/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|18/09/2019|20:35|19/09/2019|09:57||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|18/09/2019|15:33|18/09/2019|11:23|18/09/2019|11:23||18/09/2019|07:30|1909||F1||
42|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8201|2019091903|19/09/2019|03:42|19/09/2019|09:06|PPA1|10|CD16|01|||||||||||||PPA1-10|722F-P-P1|19/09/2019|09:06|19/09/2019|15:20||1|86100-0K144-00|RECEIVER ASSY  RADIO & NAVIGATION|B036|SA.R -  12|4|4|1||F|19/09/2019|03:42|18/09/2019|21:47|18/09/2019|21:47||18/09/2019|07:30|1909|2|F1||
43|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8201|2019091903|19/09/2019|03:42|19/09/2019|09:06|PPA1|10|CD16|01|||||||||||||PPA1-10|722F-P-P1|19/09/2019|09:06|19/09/2019|15:20||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|32|8||F|19/09/2019|03:42|18/09/2019|21:47|18/09/2019|21:47||18/09/2019|07:30|1909||F1||
44|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8201|2019091903|19/09/2019|03:42|19/09/2019|09:06|PPA1|10|CD16|01|||||||||||||PPA1-10|722F-P-P1|19/09/2019|09:06|19/09/2019|15:20||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|4|1||F|19/09/2019|03:42|18/09/2019|21:47|18/09/2019|21:47||18/09/2019|07:30|1909||F1||
45|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8201|2019091903|19/09/2019|03:42|19/09/2019|09:06|PPA1|10|CD16|01|||||||||||||PPA1-10|722F-P-P1|19/09/2019|09:06|19/09/2019|15:20||4|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|4|1||F|19/09/2019|03:42|18/09/2019|21:47|18/09/2019|21:47||18/09/2019|07:30|1909||F1||
46|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8201|2019091903|19/09/2019|03:42|19/09/2019|09:06|PPA1|10|CD16|01|||||||||||||PPA1-10|722F-P-P1|19/09/2019|09:06|19/09/2019|15:20||5|86100-0K214-00|RECEIVER ASSY  RADIO & NAVIGATION|B037|SA.R -  14|4|4|1||F|19/09/2019|03:42|18/09/2019|21:47|18/09/2019|21:47||18/09/2019|07:30|1909|2|F1||
47|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9019|2019091903|19/09/2019|03:29|19/09/2019|08:30|PSA|07|PD02|01|||||||||||||PSA-07|722B-S-S1|19/09/2019|08:30|19/09/2019|13:15||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|28|7||F|19/09/2019|03:29|18/09/2019|23:19|18/09/2019|23:19||18/09/2019|07:30|1909||F1||
48|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9019|2019091903|19/09/2019|03:29|19/09/2019|08:30|PSA|07|PD02|01|||||||||||||PSA-07|722B-S-S1|19/09/2019|08:30|19/09/2019|13:15||2|86120-0KA11-00|RECEIVER ASSY RADIO|E396|IP1  - A07|4|4|1||F|19/09/2019|03:29|18/09/2019|23:19|18/09/2019|23:19||18/09/2019|07:30|1909||F1||
49|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9019|2019091903|19/09/2019|03:29|19/09/2019|08:30|PSA|07|PD02|01|||||||||||||PSA-07|722B-S-S1|19/09/2019|08:30|19/09/2019|13:15||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|4|1||F|19/09/2019|03:29|18/09/2019|23:19|18/09/2019|23:19||18/09/2019|07:30|1909||F1||
50|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9019|2019091903|19/09/2019|03:29|19/09/2019|08:30|PSA|07|PD02|01|||||||||||||PSA-07|722B-S-S1|19/09/2019|08:30|19/09/2019|13:15||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|19/09/2019|03:29|18/09/2019|23:19|18/09/2019|23:19||18/09/2019|07:30|1909||F1||
51|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9019|2019091903|19/09/2019|03:29|19/09/2019|08:30|PSA|07|PD02|01|||||||||||||PSA-07|722B-S-S1|19/09/2019|08:30|19/09/2019|13:15||5|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|8|2||F|19/09/2019|03:29|18/09/2019|23:19|18/09/2019|23:19||18/09/2019|07:30|1909||F1||
52|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8202|2019091904|19/09/2019|03:42|19/09/2019|09:06|PPA1|14|CD16|01|||||||||||||PPA1-14|722F-P-P1|19/09/2019|09:06|19/09/2019|20:13||1|86100-0K144-00|RECEIVER ASSY  RADIO & NAVIGATION|B036|SA.R -  12|4|4|1||F|19/09/2019|03:42|18/09/2019|21:47|18/09/2019|21:47||18/09/2019|07:30|1909|2|F1||
53|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8202|2019091904|19/09/2019|03:42|19/09/2019|09:06|PPA1|14|CD16|01|||||||||||||PPA1-14|722F-P-P1|19/09/2019|09:06|19/09/2019|20:13||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|36|9||F|19/09/2019|03:42|18/09/2019|21:47|18/09/2019|21:47||18/09/2019|07:30|1909||F1||
54|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8202|2019091904|19/09/2019|03:42|19/09/2019|09:06|PPA1|14|CD16|01|||||||||||||PPA1-14|722F-P-P1|19/09/2019|09:06|19/09/2019|20:13||3|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|19/09/2019|03:42|18/09/2019|21:47|18/09/2019|21:47||18/09/2019|07:30|1909||F1||
55|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8202|2019091904|19/09/2019|03:42|19/09/2019|09:06|PPA1|14|CD16|01|||||||||||||PPA1-14|722F-P-P1|19/09/2019|09:06|19/09/2019|20:13||4|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|4|1||F|19/09/2019|03:42|18/09/2019|21:47|18/09/2019|21:47||18/09/2019|07:30|1909||F1||
56|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9020|2019091904|19/09/2019|03:29|19/09/2019|08:30|PSA|10|PD02|01|||||||||||||PSA-10|722B-S-S1|19/09/2019|08:30|19/09/2019|15:42||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|16|4||F|19/09/2019|03:29|18/09/2019|23:19|18/09/2019|23:19||18/09/2019|07:30|1909||F1||
57|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9020|2019091904|19/09/2019|03:29|19/09/2019|08:30|PSA|10|PD02|01|||||||||||||PSA-10|722B-S-S1|19/09/2019|08:30|19/09/2019|15:42||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||F|19/09/2019|03:29|18/09/2019|23:19|18/09/2019|23:19||18/09/2019|07:30|1909||F1||
58|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9020|2019091904|19/09/2019|03:29|19/09/2019|08:30|PSA|10|PD02|01|||||||||||||PSA-10|722B-S-S1|19/09/2019|08:30|19/09/2019|15:42||3|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|4|1||F|19/09/2019|03:29|18/09/2019|23:19|18/09/2019|23:19||18/09/2019|07:30|1909||F1||
